,Unnamed: 0.1,original_index,sentence,Unnamed: 0,date,year,month,day,author,title,url,section,publication,objectivity_classification,Emotional_appeal_classification,classification_raw,WordCount
0,0,0,next image 1 of 2 prev image 2 of 2 hiroshima japan  rescuers combed through mudcovered hillsides and near riverbanks tuesday to look for dozens of people still missing after days of heavy rains caused flooding and mudslides in southwestern japan where the death toll has risen to 122,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,True,Objective Emotional Appeal,50
1,1,0,officials and reports say more than 80 people are still unaccounted for many of them in the hardesthit hiroshima area,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,True,Objective Emotional Appeal,20
2,2,0,the fire and disaster management agency said 122 people have been confirmed dead as of early tuesday,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,17
3,3,0,several days of heavy rainfall that weather officials have called historic set off flooding and landslides in widespread areas of western japan including hiroshima okayama and ehime prefectures,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,28
4,4,0,many people started to return and check on their homes and begin cleanup after the rain stopped monday,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,18
5,5,0,the government has set up a taskforce to speed up deliveries of supplies and other support for evacuation centers and residents in the region but disrupted roads and other ground transportation have delayed shipment raising concerns of shortages,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,38
6,6,0,minoru katayama 86 rushed back to his home in mabi city in okayama prefecture on monday and found his 88yearold wife chiyoko dead on the first floor,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,True,Objective Emotional Appeal,27
7,7,0,floodwaters rose so fast they caught the couple by surprise,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,False,True,Subjective Emotional Appeal,10
8,8,0,my wife could not climb up the stairs and nobody else was around to help us out katayama told national broadcaster nhk,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,False,True,Subjective Emotional Appeal,22
9,9,0,his wife was among more than 20 people who were found dead in the city where a river dike collapsed,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,True,Objective Emotional Appeal,20
10,10,0,the assessment of casualties has been difficult because of the widespread area affected,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,13
11,11,0,officials in ehime prefecture asked the central government to review a weather warning system noting that rain warnings were issued after damage and casualties were occurring,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,26
12,12,0,the japan meteorological agency said as much as 10 centimeters 3 inches of rain per hour fell on large parts of southwestern japan,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,23
13,13,0,some homes were smashed while others were tilting precariously,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,True,Objective Emotional Appeal,9
14,14,0,rivers overflowed turning towns into lakes and leaving dozens of people stranded on rooftops,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,True,Objective Emotional Appeal,14
15,15,0,military paddle boats and helicopters brought people to the ground,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,10
16,16,0,thousands of homes were without clean water and electricity in hiroshima and other hardhit areas where many people lined up for water tanks under the scorching sun with temperature rising as high as 34 celsius 93 fahrenheit which prompted concerns about peopleaposs health,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,True,Objective Emotional Appeal,43
17,17,0,thousands have evacuated their homes,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,True,Objective Emotional Appeal,5
18,18,0,at a local elementary school in hiroshimaaposs yano district dozens of residents took shelter and some shared their stories of narrow escape from the landslides and floods,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,True,Objective Emotional Appeal,27
19,19,0,supplies such as water blankets and cellphone chargers were provided,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,False,Objective,10
20,20,0,ryutaro hirakawa 18 said he fled his house after smelling a strange odor coming from the ground a sign of a landslide,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,True,True,Objective Emotional Appeal,22
21,21,0,the smell of soil and grass was so strong when i opened the window he said,0,7/9/2018 0:00,2018,7,9,Associated Press,Rescuers look through mud for Japan flood victims; 122 dead,https://www.foxnews.com/world/rescuers-look-through-mud-for-japan-flood-victims-122-dead,World,Fox News,False,False,Subjective,16
